stratum,n,bias,rmse,mae,r,r_log,slope,intercept,view,retrieval,qc_mode
all,435128,6.172787198528961,12.751223665578753,8.88127109979295,0.03353038426375596,0.10825154432363325,0.06545141511877847,12.403063634148413,sample,R10,qc_strict
ocean,318478,6.500361217285953,12.849680321938923,9.044995566958486,0.03298724122678071,0.12578802342522613,0.060556938658443124,12.92056502277537,sample,R10,qc_strict
land,116650,5.278444135128282,12.478462060721638,8.434270320933567,0.018590685017433908,0.0546440605470882,0.04350848143536056,11.217757576846168,sample,R10,qc_strict
lat_tropics,179940,4.180162043361155,11.531770044336518,7.700635427409442,0.07643437953602308,0.14729271115294337,0.11615089310924902,10.122485960232687,sample,R10,qc_strict
lat_midlat,225148,7.163568186190014,13.165685328051085,9.429940193394998,0.008184423397156713,0.06139821069254532,0.01814090859399334,13.785212049510584,sample,R10,qc_strict
lat_polar,30040,10.682794276124984,16.107839695734842,11.841052517981192,-0.016179736568771554,0.023978484328118475,-0.09638311923778856,16.984357112043664,sample,R10,qc_strict
dist_lt2km,333354,5.56164962059137,12.094976346198067,8.352733916066796,0.037739559699940924,0.1108601518587048,0.06983911636419346,11.829324185263303,sample,R10,qc_strict
dist_2_5km,98748,8.091706078897085,14.626431552434724,10.554376726966797,0.03278180039688303,0.10832583237224369,0.07231553463207904,14.079680035547984,sample,R10,qc_strict
dist_ge5km,3026,10.877266563108009,16.83701908430799,12.507890356793856,0.04355395447658396,0.10836254860252341,0.17311561594232144,15.579593741744766,sample,R10,qc_strict
tdiff_lt3min,173642,6.011621312435284,12.618038400122277,8.759896768200345,0.03416634458903308,0.10562771235168185,0.06547437359601743,12.273704788876293,sample,R10,qc_strict
tdiff_ge3min,261486,6.279810774525682,12.83890313544911,8.96187075593669,0.03321036462838255,0.11003646855836748,0.06562154087527301,12.487733015882018,sample,R10,qc_strict
water_pure_pixel,0,,,,,,,,sample,R10,qc_strict
water_dominant_pixel,0,,,,,,,,sample,R10,qc_strict
mixed_pixel,0,,,,,,,,sample,R10,qc_strict
not_water_pixel,435128,6.172787198528961,12.751223665578753,8.88127109979295,0.03353038426375596,0.10825154432363325,0.06545141511877847,12.403063634148413,sample,R10,qc_strict
phase_agree_liquid,0,,,,,,,,sample,R10,qc_strict
phase_disagree_atlid_liquid,0,,,,,,,,sample,R10,qc_strict
atlid_radar_synergy,236020,7.356744516284453,14.01314766902852,10.23888317731974,-0.004822794703202795,0.09031154262457768,-0.010413735662751203,14.834636802312763,sample,R10,qc_strict
atlid_only,199108,4.769339792414433,11.070579749540462,7.271975629305203,0.010433839096562115,0.067780166930835,0.01721104250821082,10.4658769892183,sample,R10,qc_strict
cer_small,333208,7.7333407528377665,12.976902456941888,9.153889375324711,0.053098007898158446,0.08794839428159557,0.26762695590444974,11.345955820249145,sample,R10,qc_strict
cer_mid,88625,3.2494768041273248,9.82054309084082,6.776170571888523,0.03919172160394092,0.041531944041731474,0.18701748192109416,11.4984796386056,sample,R10,qc_strict
cer_large,13295,-13.451924724771741,21.401761451034467,16.081417315072528,-0.07418086596068862,-0.09475088863712947,-0.05160036846219507,14.86153728264427,sample,R10,qc_strict
all,436125,6.2084911524423045,13.040681246031786,9.034660554242052,0.031808342665549244,0.1025192382714586,0.06449755163302673,12.443593866876055,sample,R11,qc_strict
ocean,316016,6.6175552137437395,13.282853090014205,9.307634485457541,0.03272170138754735,0.12131881803418654,0.06287623649537497,13.031551741777115,sample,R11,qc_strict
land,120109,5.13221220251986,12.380901807151181,8.31644518447796,0.008080097395425898,0.04357218920974024,0.019258533557284768,11.20599581361571,sample,R11,qc_strict
lat_tropics,179372,4.3174247371063785,11.876955970451618,7.909689895181954,0.07307066784689992,0.14122382459730723,0.11598411439435571,10.244866882767239,sample,R11,qc_strict
lat_midlat,226769,7.1124916151938615,13.423210835689185,9.545959516235833,0.006570725529079764,0.05591206468187939,0.015133818410225664,13.766198547799984,sample,R11,qc_strict
lat_polar,29984,10.684381097543929,16.33911413947829,11.897570197537162,-0.015871843284452434,0.02571885470710683,-0.09642624299890655,16.9742958677104,sample,R11,qc_strict
dist_lt2km,334121,5.606748795689138,12.391123984388,8.51506748973837,0.03639993430960353,0.10554602151785056,0.07018585878363062,11.8686574781619,sample,R11,qc_strict
dist_2_5km,99028,8.09955829666907,14.907227566496651,10.682754572386802,0.029393411284494495,0.10130597543600765,0.06698070869113601,14.126745216187368,sample,R11,qc_strict
dist_ge5km,2976,10.840937665290125,16.99618972340626,12.529116157802662,0.023163420376952053,0.08709479990534875,0.09268235781567595,15.990315509350417,sample,R11,qc_strict
tdiff_lt3min,173346,6.09415617916062,12.94221354070718,8.947710762644041,0.030138346852313338,0.09904772169805912,0.05998753893794759,12.389685523880013,sample,R11,qc_strict
tdiff_ge3min,262779,6.2839138851511045,13.105231908958785,9.092018252438441,0.03297469978739572,0.10481924591757526,0.06768742791574187,12.477887873883263,sample,R11,qc_strict
water_pure_pixel,0,,,,,,,,sample,R11,qc_strict
water_dominant_pixel,0,,,,,,,,sample,R11,qc_strict
mixed_pixel,0,,,,,,,,sample,R11,qc_strict
not_water_pixel,436125,6.2084911524423045,13.040681246031786,9.034660554242052,0.031808342665549244,0.1025192382714586,0.06449755163302673,12.443593866876055,sample,R11,qc_strict
phase_agree_liquid,0,,,,,,,,sample,R11,qc_strict
phase_disagree_atlid_liquid,0,,,,,,,,sample,R11,qc_strict
atlid_radar_synergy,236518,7.021895836349022,13.962605502538832,10.1130661915677,0.001981011888200972,0.09153196979634605,0.00436510657126662,14.38488949002764,sample,R11,qc_strict
atlid_only,199607,5.2446730046406245,11.855835794164136,7.756837910101377,0.013876276586144352,0.07130706776740912,0.02510452775431483,10.898710584581845,sample,R11,qc_strict
cer_small,334242,7.737543220163434,13.27933057559839,9.251763411458924,0.03893558787116587,0.08030475331858725,0.20341277261346608,11.67354911786707,sample,R11,qc_strict
cer_mid,88687,3.3565566151042585,10.193417101549443,7.16527744380719,0.032656692085295355,0.03535387128111462,0.16180979051281633,11.862435299574516,sample,R11,qc_strict
cer_large,13196,-13.353793093264576,21.34392381666761,16.099307925661854,-0.05275279663423299,-0.07347883633943253,-0.037712820243387166,14.5830764512764,sample,R11,qc_strict
all,137131,5.684707245559838,11.04555188650726,7.445802657816011,0.04107499743278604,0.09876584942872274,0.07196618513549836,12.174793987165188,pixel,R10,qc_strict
ocean,117368,5.886158937065481,11.155717367645819,7.581768801785576,0.037255477396894346,0.10616875899807705,0.06407708410615949,12.592632266531965,pixel,R10,qc_strict
land,19763,4.488331081585018,10.367211854293291,6.638330392197437,-0.004731919154496607,-0.005722756786125779,-0.009247697221742878,10.513947317806815,pixel,R10,qc_strict
lat_tropics,65738,4.715217934792617,9.796393177855458,6.673133474799739,0.08782105136970814,0.16304943407359648,0.1254927984024459,11.023904858065025,pixel,R10,qc_strict
lat_midlat,68170,6.395146435018138,11.82839093411607,8.000182973611361,0.02004746105697292,0.05321270786306808,0.040341598969245274,13.000015475784972,pixel,R10,qc_strict
lat_polar,3223,10.432348811133243,16.56143120400988,11.479814642102317,-0.1459143535577544,-0.049000551789274926,-0.7459013280140863,18.8793419064324,pixel,R10,qc_strict
dist_lt2km,97853,4.854672571188562,9.806759640479807,6.665978599036464,0.06042565801910777,0.11813374615340863,0.09409550686392522,11.361352144910454,pixel,R10,qc_strict
dist_2_5km,38744,7.715433943916541,13.597154373047056,9.349688034151681,0.032590552135448446,0.07742446501216221,0.06856688855678904,13.80789093506891,pixel,R10,qc_strict
dist_ge5km,534,10.446706852526622,17.130117252288972,12.209826258950521,-0.06893388758071306,0.0575428271779669,-0.25656949293524556,16.927942738685143,pixel,R10,qc_strict
